f127.0.0.1:2222,127.0.0.1:1111	0	1	0	0	0
f127.0.0.1:2222,127.0.0.1:1111	6	0
f127.0.0.1:1111,127.0.0.1:2222	7	1	0	0	1
f127.0.0.1:1111,127.0.0.1:2222	8	0
f127.0.0.1:2222,127.0.0.1:1111	9	1	0	0	2
f127.0.0.1:2222,127.0.0.1:1111	24	0
f127.0.0.1:1111,127.0.0.1:2222	26	1	1	0	3
f127.0.0.1:1111,127.0.0.1:2222	39	0
f127.0.0.1:2222,127.0.0.1:1111	40	1	0	1	4
f127.0.0.1:2222,127.0.0.1:1111	62	0
f127.0.0.1:1111,127.0.0.1:2222	63	1	2	0	3
f127.0.0.1:1111,127.0.0.1:2222	63	2	3	0	3
f127.0.0.1:1111,127.0.0.1:2222	71	1
f127.0.0.1:1111,127.0.0.1:2222	71	0
f127.0.0.1:2222,127.0.0.1:1111	71	1	0	2	4
f127.0.0.1:2222,127.0.0.1:1111	72	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	80	1
f127.0.0.1:1111,127.0.0.1:2222	80	2	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	80	1
f127.0.0.1:1111,127.0.0.1:2222	80	-1	4	0
f127.0.0.1:1111,127.0.0.1:2222	81	2	5	0	3
f127.0.0.1:2222,127.0.0.1:1111	83	1
f127.0.0.1:1111,127.0.0.1:2222	84	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	90	1
f127.0.0.1:2222,127.0.0.1:1111	91	2	0	3	4
f127.0.0.1:1111,127.0.0.1:2222	91	3	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	91	2
f127.0.0.1:1111,127.0.0.1:2222	91	-1	7	0
f127.0.0.1:1111,127.0.0.1:2222	92	1
f127.0.0.1:2222,127.0.0.1:1111	92	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	97	1
f127.0.0.1:2222,127.0.0.1:1111	108	0
f127.0.0.1:1111,127.0.0.1:2222	1091	1	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	1096	0
f127.0.0.1:2222,127.0.0.1:1111	1096	1	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	1102	0
f127.0.0.1:1111,127.0.0.1:2222	1102	1	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	1102	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	1106	1
f127.0.0.1:2222,127.0.0.1:1111	1107	2	0	5	4
f127.0.0.1:1111,127.0.0.1:2222	1110	1
f127.0.0.1:2222,127.0.0.1:1111	1110	2	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	1113	1
f127.0.0.1:1111,127.0.0.1:2222	1113	2	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	1118	1
